Topic,Words,Frequency,Timestamp
-1,"CPMF, Brasil, governo, criação, Governo",276,2007
0,", , , , ",395,2007
1,"impeachment, processo impeachment, responsabilidade, crime responsabilidade, crime",6,2007
2,"Brasil, democracia, Ulysses Guimarães, político, transição",22,2007
3,"Tribunal, Tribunal Federal, Supremo Tribunal Federal, Supremo Tribunal, Tribunal Contas",8,2007
4,"Estados Municípios, federativo, autonomia, pacto federativo, distribuição recursos",31,2007
5,"medidas provisórias, provisórias, medidas, urgência relevância, provisória",21,2007
6,"indígenas, terras, terras indígenas, demarcação, demarcação terras",13,2007
7,"dever Estado, acesso, saúde direito todos, direito todos, saúde direito todos dever",25,2007
8,"público, Pública, titularidade, Defensoria Pública, moralidade",14,2007
9,"licença, licença maternidade, maternidade, meses, proporcional",3,2007
10,"igualdade, iguais perante, iguais perante lei, todos iguais, todos iguais perante",16,2007
11,"trabalhadores, trabalho, trabalho escravo, conotação, trabalhistas",5,2007
12,"fiscalização, fiscalizar, fiscal, dinheiro público, autoridades",16,2007
13,"político, democrático, político princípio, democrática, democracia",8,2007
14,"liberdade, liberdade expressão, manifestação, liberdade imprensa, livre manifestação",7,2007
15,"educação, direito educação, educação direito, Estado família, educação direito todos",9,2007
16,"desigualdades, desigualdades regionais, reduzir desigualdades, desigualdades sociais, objetivos",11,2007
17,"CPI, CPIs, instalação, instalação CPI, requisitos constitucionais",11,2007
18,"harmonia, harmonia entre, processo integração, organizada, entre Poderes",3,2007
19,"devido processo legal, processo legal, devido processo, legal, juiz",11,2007
20,"royalties, petróleo, exploração, minerais, recursos minerais",4,2007
21,"sugerindo arrecadação, destaca importância reconhecer papel, Constitucional garantir correta, Emenda Constitucional garantir correta, Constitucional garantir correta aplicação",10,2007
22,"ambiental, meio ambiente, ambiente, ambientais, desse patrimônio",3,2007
23,"cidadãos, direitos garantias fundamentais, garantias fundamentais, fundamentais, metas",5,2007
24,"parlamentares, Mista Orçamento, Comissão Mista Orçamento, Plenário Congresso, Plenário Congresso Nacional",3,2007
25,"tributária, tributos, reforma tributária, tributário, Tribunais",11,2007
26,"crianças adolescentes, adolescentes, prioridade, deve dar atenção especial, atendimento crianças",1,2007
27,"Estado Amapá, Estado Roraima, terras, transformação, limites geográficos",9,2007
28,"Regimento, Regimento Interno, Interno Senado, Regimento Interno Senado, regimentais",9,2007
29,"terceiro mandato, mandato, mandato presidencial, presidencial, terceiro mandato presidencial",10,2007
30,"delegados polícia, isonomia remuneratória, polícia, Ministério Público, Ministério",1,2007
32,"Poder Legislativo brasileiro, Legislativo brasileiro, emana povo, representação, indígenas tenham",2,2007
33,"vetos, veto, vetos presidenciais, presidenciais, processo legislativo",4,2007
35,"voto, secreto, voto secreto, votação, secreta",18,2007
36,"salário mínimo, mínimo, mínimo deve, salário mínimo deve, idade mínima",5,2007
37,"Zona Franca, Franca, Zona Franca Manaus, vantagens, desenvolvimento região",2,2007
38,"integração, América, América Latina, Latina, Brasil",6,2007
39,"segurança pública, responsabilidade, segurança pública função, Governadores têm, Governos Estado",4,2007
40,"cláusulas pétreas, pétreas, cláusula pétrea, cláusula, privacidade",3,2007
41,"ex Territórios, Territórios, Territórios Roraima Amapá Estados, criação Estado Rondônia, Territórios Roraima",1,2007
43,"educação, DRU, destinados, destinados educação, deveriam ir educação",7,2007
44,"Exame, Câmara Deputados, Deputados, Casa vai, constitucional equilíbrio federativo",2,2007
45,"Social, contribuições, Seguridade, Seguridade Social, Previdência Social",3,2007
46,"Forças, Forças Armadas, Armadas, fronteiras, Pátria",8,2007
47,"saúde pública, receita corrente líquida, corrente líquida, líquida, receita corrente",10,2007
48,"rádio, rádio televisão, televisão, programação, informativas",1,2007
49,"agências reguladoras, reguladoras, agências, Emenda Senador, Senador Tasso Jereissati",3,2007
51,"direito ir vir, direito ir, direito ir vir implica, ir vir implica, dentro território nacional",1,2007
-1,"Brasil, criação, princípios, dignidade, democracia",308,2008
0,", , , , ",357,2008
1,"Polícia, assume Vice Presidente, impeachment, Região Amazônica, Polícia Federal",3,2008
2,"Brasil, democracia, eleições, Constituinte, democrático",31,2008
3,"Tribunal, Tribunal Federal, Supremo Tribunal Federal, Supremo Tribunal, medidas provisórias",9,2008
4,"Estados, Distrito Federal, autonomia, Estados Municípios, União Estados",20,2008
5,"medidas provisórias, medidas, medida provisória, provisória, medida",53,2008
6,"terras, indígenas, terras indígenas, demarcação, índios",41,2008
7,"SUS, acesso, saúde direito todos, Sistema Único, Único Saúde",16,2008
8,"públicos, público, moralidade, publicidade, administração",18,2008
9,"valor real, competência, poder regulamentar, benefícios, precatórios",8,2008
10,"igualdade, iguais, perante, iguais perante, iguais perante lei",13,2008
11,"trabalhadores, levando, trabalho, trabalhistas, direitos trabalhistas",14,2008
