Topic,Count,Name,Representation,Aspect1,Representative_Docs
18,614,18_Amazônia_Amazonas_do Amazonas_da Amazônia,"['Amazônia', 'Amazonas', 'do Amazonas', 'da Amazônia', 'Estado do Amazonas', 'na Amazônia', 'do Estado do Amazonas', 'Amazônica', 'no Estado do Amazonas', 'Região Amazônica', 'no Estado do', 'amazônica', 'Amazônia Legal', 'Industrial de Manaus', 'Legal', 'região amazônica', 'para Amazônia', 'da região', 'no Amazonas', 'Diário do Amazonas']","['região', 'desenvolvimento', 'desmatamento', 'amazônica', 'ONGs', 'aplauso', 'Diário', 'sustentável', 'amazonense', 'Voto', 'Homenagem', 'países', 'econômico', 'preservação', 'último', 'indígenas', 'amazonenses', 'aumento', 'edição', 'lançamento', 'Alerta', 'política', 'soberania', 'Crítica', 'governo', 'ações', 'ação', 'transcurso', 'jornalista', 'sentido']","['Preocupação com a atual distribuição dos recursos do Fundo Amazônia. Defesa da continuidade da Zona Franca de Manaus. Apelo para a implementação de políticas públicas efetivas no Estado do Amazonas.', 'Comentário a respeito do plano de desenvolvimento da Amazônia pela inteligência da Amazônia, que a Subcomissão da Amazônia, vem desenvolvendo. Louvor à edição da revista Veja, chamando a atenção para o fator humano na Amazônia.\n', 'Considerações acerca da cultura japonesa no Estado do Amazonas.']"
19,565,19_participação de_da participação de_da participação_participação de Exa,"['participação de', 'da participação de', 'da participação', 'participação de Exa', 'Registro da participação', 'Registro da participação de', 'da participação de Exa', 'participação de Exa em', 'participação de em', 'Exa na', 'participação de Exa na', 'Relato da participação', 'Relato da participação de', 'participação de Exa no', 'da participação de em', 'em reunião', 'sobre participação de', 'sobre participação', 'participação de na', 'assuntos Registro da participação']","['Relato', 'visita', 'audiência', 'evento', 'solenidade', 'Participação', 'cidade', 'semana', 'seminário', 'obras', 'eventos', 'oficial', 'política', 'missão', 'parlamentar', 'Município', 'município', 'primeiro', 'próxima', 'interior', 'abertura', 'reforma', 'experiência', 'relato', 'federais', 'projetos', 'comemoração', 'observador', 'primeira', 'presença']","['Registro da participação de S. Exª na 10ª Exposoja, realizada em Uruçuí-PI.', 'Registro da participação de S.Exa. no XXI Congresso Gaúcho de Rádio e Televisão; e outro assunto.\n', 'Registro da participação de S.Exa. em reunião do Parlamento Amazônico.\n\t']"
20,494,20_impeachment_impeachment da_impeachment da Presidente_da Presidente,"['impeachment', 'impeachment da', 'impeachment da Presidente', 'da Presidente', 'de impeachment', 'processo de impeachment', 'de impeachment da', 'impeachment da Presidente Dilma', 'de impeachment da Presidente', 'da Presidente Dilma', 'da Presidente Dilma Rousseff', 'Presidente Dilma Rousseff', 'processo de impeachment da', 'do impeachment', 'do processo de', 'do processo de impeachment', 'Presidente da República', 'do impeachment da', 'do impeachment da Presidente', 'admissibilidade do']","['impeachment', 'processo', 'admissibilidade', 'pedido', 'devido', 'Crítica', 'político', 'Presidência', 'comissão', 'rito', 'possibilidade', 'legal', 'Apresentação', 'debate', 'presidente', 'Indignação', 'instalação', 'Elogio', 'Relato', 'procedimentos', 'solidariedade', 'constituição', 'eventual', 'competência', 'fragilização', 'sumário', 'Comunicação', 'justificativas', 'obediência', 'validação']","['Considerações acerca do processo de impeachment da Presidente Dilma Rousseff.', 'Considerações acerca do processo de impeachment da Presidente Dilma Rousseff.', 'Crítica à admissibilidade do processo de impeachment da Presidente Dilma Rousseff.']"
21,471,21_petróleo_de petróleo_combustíveis_gás,"['petróleo', 'de petróleo', 'combustíveis', 'gás', 'dos combustíveis', 'Petrobras', 'sal', 'exploração de petróleo', 'do petróleo', 'gás natural', 'de gás', 'de combustíveis', 'gasolina', 'diesel', 'da exploração', 'preços de combustíveis', 'preço', 'dos preços de', 'Estabilização', 'cria Fundo de Estabilização']","['petróleo', 'combustíveis', 'gás', 'preços', 'exploração', 'natural', 'gasolina', 'diesel', 'preço', 'bruto', 'liquefeito', 'camada', 'exportação', 'diretrizes', 'imposto', 'produção', 'redução', 'aumento', 'óleo', 'operações', 'política', 'substituição', 'derivados', 'relativas', 'reservas', 'Dispõe', 'projetos', 'tributária', 'distribuição', 'adiamento']","['Pela Liderança sobre o Projeto de Lei (PL) n° 1472, de 2021, que ""Dispõe sobre diretrizes de preços para diesel, gasolina e gás liquefeito de petróleo – GLP, cria Fundo de Estabilização dos preços de combustíveis e institui imposto de exportação sobre o petróleo bruto"". Tramita em conjunto com o Projeto de Lei nº 1.582, de 2021.', 'Pela Liderança sobre o Projeto de Lei (PL) n° 1472, de 2021, que ""Dispõe sobre diretrizes de preços para diesel, gasolina e gás liquefeito de petróleo – GLP, cria Fundo de Estabilização dos preços de combustíveis e institui imposto de exportação sobre o petróleo bruto"". Tramita em conjunto com o Projeto de Lei nº 1.582, de 2021.', 'Como Relator sobre o Projeto de Lei (PL) n° 1472, de 2021, que ""Dispõe sobre diretrizes de preços para diesel, gasolina e gás liquefeito de petróleo – GLP, cria Fundo de Estabilização dos preços de combustíveis e institui imposto de exportação sobre o petróleo bruto"". Tramita em conjunto com o Projeto de Lei nº 1.582, de 2021.']"
22,436,22_Agricultura_da Agricultura_agricultura_de Agricultura,"['Agricultura', 'da Agricultura', 'agricultura', 'de Agricultura', 'Comissão de Agricultura', 'Agricultura Reforma', 'Agricultura Reforma Agrária', 'de Agricultura Reforma', 'de Agricultura Reforma Agrária', 'Comissão de Agricultura Reforma', 'agricultores', 'agrícola', 'rural', 'da agricultura', 'agricultura familiar', 'fertilizantes', 'na Comissão de Agricultura', 'Agropecuária', 'produção agrícola', 'Defesa Agropecuária']","['agricultura', 'produção', 'agropecuária', 'agricultores', 'agrícola', 'água', 'rural', 'fertilizantes', 'familiar', 'audiência', 'pequenos', 'produtores', 'setor', 'rurais', 'pequenos agricultores', 'produtor', 'alimentos', 'nacional', 'agronegócio', 'Nordeste', 'Relato', 'Alerta', 'economia', 'redução', 'Congratulações', 'mundo', 'banana', 'desafios', 'conjunta', 'Importância']","['Registro da realização, em 10/03/2022, de debate sobre fertilizantes na Comissão de Agricultura e Reforma Agrária (CRA).', 'Abertura da sessão de debates temáticos destinada a discutir o Projeto de Lei nº 1293, de 2021, que dispõe sobre os programas de autocontrole dos agentes privados regulados pela defesa agropecuária e sobre a organização e os procedimentos aplicados pela defesa agropecuária aos agentes das cadeias produtivas do setor agropecuário; institui o Programa de Incentivo à Conformidade em Defesa Agropecuária, a Comissão Especial de Recursos de Defesa Agropecuária e o Programa de Vigilância em Defesa Agropecuária para Fronteiras Internacionais (Vigifronteiras).', 'Sessão de debates temáticos destinada a discutir o Projeto de Lei nº 1293, de 2021, que dispõe sobre os programas de autocontrole dos agentes privados regulados pela defesa agropecuária e sobre a organização e os procedimentos aplicados pela defesa agropecuária aos agentes das cadeias produtivas do setor agropecuário; institui o Programa de Incentivo à Conformidade em Defesa Agropecuária, a Comissão Especial de Recursos de Defesa Agropecuária e o Programa de Vigilância em Defesa Agropecuária para Fronteiras Internacionais (Vigifronteiras).']"
23,421,23_Venezuela_da Venezuela_Venezuela no_na Venezuela,"['Venezuela', 'da Venezuela', 'Venezuela no', 'na Venezuela', 'Chávez', 'da Venezuela no', 'venezuelanos', 'do Presidente', 'Presidente da Venezuela', 'Hugo Chávez', 'Colômbia', 'Bolívia', 'no Mercosul', 'da Venezuela no Mercosul', 'Venezuela no Mercosul', 'Estado de Roraima', 'Nicolás Maduro', 'ingresso da Venezuela no', 'ingresso da Venezuela', 'do Presidente da Venezuela']","['venezuelanos', 'ingresso', 'visita', 'brasileiros', 'governo', 'brasileiro', 'voto', 'presidente', 'libertação', 'política', 'entrada', 'Repúdio', 'relações', 'repúdio', 'declarações', 'recepção', 'posição', 'povo', 'parlamentares', 'conflito', 'presença', 'Transcrição', 'sentido', 'pronunciamento', 'Posicionamento', 'eleições', 'artigo', 'último', 'dias', 'internacional']","['Posicionamento a favor do ingresso da Venezuela no Mercosul.\n', 'Críticas ao ultimato do presidente da Venezuela, Hugo Chávez, ao Brasil, caso o Congresso brasileiro não aprove a entrada da Venezuela no Mercosul até setembro.\n\t\t', 'Preocupação com o ingresso da Venezuela no Mercosul.\n']"
24,420,24_Médicos_Medida Provisória_Mais Médicos_da Medida Provisória,"['Médicos', 'Medida Provisória', 'Mais Médicos', 'da Medida Provisória', 'da Medida', 'Programa Mais Médicos', 'medida provisória', 'medida', 'medidas', 'medidas provisórias', 'Medida Provisória de', 'do Programa Mais Médicos', 'do Programa Mais', 'da medida provisória', 'da medida', 'medicamentos', 'Medida Provisória que', 'de medidas', 'Medidas', 'Medidas Provisórias']","['Médicos', 'médicos', 'provisória', 'medida', 'medidas', 'provisórias', 'medicamentos', 'Medidas', 'Saúde', 'pacientes', 'programa', 'uso', 'remédios', 'médica', 'energia', 'edição', 'tramitação', 'elétrica', 'doenças', 'ordem', 'apreciação', 'Resposta', 'pauta', 'texto', 'fornecimento', 'paciente', 'Necessidade', 'Executivo', 'liminar', 'redução']","['Defesa da aprovação da Medida Provisória 396, de 2007.\n', 'Defesa da aprovação da Medida Provisória nº 871, de 2019.', 'Regozijo pela aprovação da medida provisória que instituiu o Programa Mais Médicos.']"
25,412,25_reforma_reforma política_reforma da_da reforma,"['reforma', 'reforma política', 'reforma da', 'da reforma', 'reforma da previdência', 'da reforma política', 'de reforma', 'sobre reforma', 'proposta de reforma', 'uma reforma', 'da reforma da previdência', 'de reforma da', 'proposta de reforma da', 'de uma reforma', 'de reforma da previdência', 'sobre reforma política', 'uma reforma política', 'de uma reforma política', 'reformas', 'reforma trabalhista']","['reforma', 'política', 'previdência', 'proposta', 'eleitoral', 'trabalhista', 'reformas', 'político', 'sistema', 'propostas', 'Reflexão', 'Previdência', 'pontos', 'Necessidade', 'plebiscito', 'previdenciária', 'Reflexões', 'financiamento', 'atual', 'direitos', 'governo', 'trabalhador', 'Análise', 'administrativa', 'institucional', 'mulheres', 'alterações', 'convocação', 'debate', 'econômico']","['Posicionamentos sobre a proposta de reforma da previdência.', 'Defesa da reforma política.', 'Defesa da reforma política.']"
26,400,26_CPI_da CPI_CPI da_CPI para,"['CPI', 'da CPI', 'CPI da', 'CPI para', 'CPI do', 'de CPI', 'CPI para investigar', 'da CPI da', 'CPI das', 'da CPI do', 'instalação da CPI', 'CPI da Pedofilia', 'CPI das ONGs', 'criação da CPI', 'de CPI para', 'da CPI das', 'uma CPI', 'de CPI para investigar', 'instalação de', 'cartões corporativos']","['CPI', 'instalação', 'requerimento', 'cartões', 'corporativos', 'trabalhos', 'irregularidades', 'denúncias', 'aéreo', 'corrupção', 'leitura', 'ONG', 'dinheiro', 'edição', 'apagão', 'proposta', 'Esclarecimentos', 'último', 'Questionamentos', 'investigações', 'governo', 'corrente', 'Mesa', 'intenção', 'senador', 'órgãos', 'gastos', 'março', 'crise', 'imprensa']","['Manifestação sobre os trabalhos da CPI da Pedofilia.', 'Compromete-se a devolver hoje a relatoria da CPI das ONGs e a cancelar o pedido de instalação da CPI do DNIT para que entre em funcionamento a CPI da Petrobrás.', 'Apoio à instalação da CPI para investigar a CBF; e outro assunto.']"
27,344,27_BR_Transportes_transporte_dos Transportes,"['BR', 'Transportes', 'transporte', 'dos Transportes', 'de Transportes', 'transportes', 'Ministro dos Transportes', 'de transportes', 'do transporte', 'de transporte', 'duplicação da', 'obras de', 'Departamento Nacional de', 'da rodovia', 'liga', 'rodovia BR', 'Transporte', 'Departamento', 'BR que', 'Infraestrutura']","['transporte', 'transportes', 'obras', 'rodovia', 'duplicação', 'rodovias', 'restauração', 'recuperação', 'conclusão', 'trecho', 'setor', 'investimentos', 'aéreo', 'audiência', 'pesquisa', 'construção', 'pavimentação', 'Cobrança', 'liberação', 'urbano', 'Diretor', 'logística', 'federais', 'governo', 'melhoria', 'obra', 'sentido', 'região', 'conservação', 'cargo']","['Sessão Especial destinada a comemorar os 20 anos do Departamento Nacional de Infraestrutura de Transportes (Dnit).', 'Sessão Especial destinada a comemorar os 20 anos do Departamento Nacional de Infraestrutura de Transportes (Dnit).', 'Sessão Especial destinada a comemorar os 20 anos do Departamento Nacional de Infraestrutura de Transportes (Dnit).']"
